giocatore,link_a,link_b
Marton Fucsovics,https://www.atptour.com/en/players/marton-fucsovics/f724/rankings-breakdown,https://www.atptour.com/en/players/marton-fucsovics/f724/player-stats
Pavel Kotov,https://www.atptour.com/en/players/pavel-kotov/k09f/rankings-breakdown,https://www.atptour.com/en/players/pavel-kotov/k09f/player-stats
Vasek Pospisil,https://www.atptour.com/en/players/vasek-pospisil/pd07/rankings-breakdown,https://www.atptour.com/en/players/vasek-pospisil/pd07/player-stats
Zhizhen Zhang,https://www.atptour.com/en/players/zhizhen-zhang/z371/rankings-breakdown,https://www.atptour.com/en/players/zhizhen-zhang/z371/player-stats
Dusan Lajovic,https://www.atptour.com/en/players/dusan-lajovic/l987/rankings-breakdown,https://www.atptour.com/en/players/dusan-lajovic/l987/player-stats
Radu Albot,https://www.atptour.com/en/players/radu-albot/a829/rankings-breakdown,https://www.atptour.com/en/players/radu-albot/a829/player-stats
Tomas Machac,https://www.atptour.com/en/players/tomas-machac/m0fh/rankings-breakdown,https://www.atptour.com/en/players/tomas-machac/m0fh/player-stats
Marco Cecchinato,https://www.atptour.com/en/players/marco-cecchinato/cf01/rankings-breakdown,https://www.atptour.com/en/players/marco-cecchinato/cf01/player-stats
Dominic Thiem,https://www.atptour.com/en/players/dominic-thiem/tb69/rankings-breakdown,https://www.atptour.com/en/players/dominic-thiem/tb69/player-stats
Juan Pablo Varillas,https://www.atptour.com/en/players/juan-pablo-varillas/v836/rankings-breakdown,https://www.atptour.com/en/players/juan-pablo-varillas/v836/player-stats
Denis Kudla,https://www.atptour.com/en/players/denis-kudla/kb09/rankings-breakdown,https://www.atptour.com/en/players/denis-kudla/kb09/player-stats
Jason Kubler,https://www.atptour.com/en/players/jason-kubler/kb95/rankings-breakdown,https://www.atptour.com/en/players/jason-kubler/kb95/player-stats
Michael Mmoh,https://www.atptour.com/en/players/michael-mmoh/mp01/rankings-breakdown,https://www.atptour.com/en/players/michael-mmoh/mp01/player-stats
Hugo Gaston,https://www.atptour.com/en/players/hugo-gaston/g09o/rankings-breakdown,https://www.atptour.com/en/players/hugo-gaston/g09o/player-stats
Jiri Vesely,https://www.atptour.com/en/players/jiri-vesely/v708/rankings-breakdown,https://www.atptour.com/en/players/jiri-vesely/v708/player-stats
Steve Johnson,https://www.atptour.com/en/players/steve-johnson/j386/rankings-breakdown,https://www.atptour.com/en/players/steve-johnson/j386/player-stats
Emilio Gomez,https://www.atptour.com/en/players/emilio-gomez/ga36/rankings-breakdown,https://www.atptour.com/en/players/emilio-gomez/ga36/player-stats
Tim van Rijthoven,https://www.atptour.com/en/players/tim-van-rijthoven/v942/rankings-breakdown,https://www.atptour.com/en/players/tim-van-rijthoven/v942/player-stats
Norbert Gombos,https://www.atptour.com/en/players/norbert-gombos/gb93/rankings-breakdown,https://www.atptour.com/en/players/norbert-gombos/gb93/player-stats
Hugo Dellien,https://www.atptour.com/en/players/hugo-dellien/da31/rankings-breakdown,https://www.atptour.com/en/players/hugo-dellien/da31/player-stats
Dominic Stricker,https://www.atptour.com/en/players/dominic-stricker/s0la/rankings-breakdown,https://www.atptour.com/en/players/dominic-stricker/s0la/player-stats
Yibing Wu,https://www.atptour.com/en/players/yibing-wu/wb32/rankings-breakdown,https://www.atptour.com/en/players/yibing-wu/wb32/player-stats
Francesco Passaro,https://www.atptour.com/en/players/francesco-passaro/p0ct/rankings-breakdown,https://www.atptour.com/en/players/francesco-passaro/p0ct/player-stats
Alexei Popyrin,https://www.atptour.com/en/players/alexei-popyrin/p09z/rankings-breakdown,https://www.atptour.com/en/players/alexei-popyrin/p09z/player-stats
Jurij Rodionov,https://www.atptour.com/en/players/jurij-rodionov/r09x/rankings-breakdown,https://www.atptour.com/en/players/jurij-rodionov/r09x/player-stats
Pablo Andujar,https://www.atptour.com/en/players/pablo-andujar/a596/rankings-breakdown,https://www.atptour.com/en/players/pablo-andujar/a596/player-stats
Christopher Eubanks,https://www.atptour.com/en/players/christopher-eubanks/e865/rankings-breakdown,https://www.atptour.com/en/players/christopher-eubanks/e865/player-stats
Fernando Verdasco,https://www.atptour.com/en/players/fernando-verdasco/v306/rankings-breakdown,https://www.atptour.com/en/players/fernando-verdasco/v306/player-stats
